id,neighbourhood,latitude,longitude,notapartment,private,persons,bathrooms,bedrooms,beds,rating,accurate,location_score,value,reviews_per_month,available,price,active,pricecategory,groupsize,patiobalcony,wifi,heating,tv,refrigerator,airconditioning,oven,washer,dryer,stove,alarm,coffeemaker,babystuff,hottub,pool,gym,dishes,cookingbasics,dedicatedworkspace,hotwater,essentials,hangers,fireextinguisher,firstaidkit,bedlinens,iron,privateentrance,elevator,hairdryer,bathtub,dishwasher,latbin,lonbin,multiplier
2818,9,52.36435,4.94358,False,False,2,1,1,2,2,True,2.0,3.0,3,False,59,True,1,3,True,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,False,52.366,4.951,85
25428,21,52.3749,4.88487,False,True,3,1,1,1,3,True,3.0,3.0,2,False,125,True,2,3,False,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,52.378,4.884,100
27886,21,52.38761,4.89188,True,False,2,1,1,1,3,True,3.0,3.0,3,False,133,True,2,2,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,False,52.395,4.895,88
41125,21,52.3792,4.88432,False,True,3,1,1,1,2,True,3.0,2.0,3,False,163,True,2,3,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,True,52.383,4.884,93
46386,18,52.35198,4.90746,False,True,2,1,1,1,1,True,1.0,1.0,1,False,150,False,2,2,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,52.354,4.906,96
49790,14,52.36158,4.86101,True,True,4,1,2,2,3,True,3.0,2.0,3,False,250,False,3,4,False,True,True,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,52.366,4.861,94
50515,7,52.37559,4.83857,True,True,6,1,3,3,2,True,2.0,3.0,2,False,115,True,2,6,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,52.378,4.839,88
52490,9,52.37028,4.9392,False,False,2,1,1,1,1,True,2.0,2.0,3,False,75,True,1,2,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,52.372,4.94,90
53671,21,52.38808,4.88515,False,False,2,1,1,1,1,False,2.0,2.0,3,False,87,True,1,2,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,False,52.395,4.884,89
55621,18,52.35399,4.89756,False,True,4,1,2,2,2,True,3.0,2.0,2,False,222,True,3,4,True,True,True,True,True,False,True,True,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,52.354,4.895,96
55807,14,52.3699,4.86271,False,False,2,1,1,1,2,True,2.0,3.0,3,False,64,True,1,2,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,52.372,4.861,94
